outer_fold,sample_id,file_name,source_regime,cooling_group,assigned_cv_fold,split,split_unit,random_seed
2,ma_015,10-500-03-H-9mm-4000x13.tif,III,III,0,train,original_image,2026
2,ma_016,10-500-03-V-12mm-4000x16.tif,III,III,0,train,original_image,2026
2,ma_017,10-500-03-V-6mm-4000x06.tif,III,III,1,train,original_image,2026
2,ma_018,10-500-03-V-6mm-4000x07.tif,III,III,2,test,original_image,2026
2,ma_019,10-500-03-V-9mm-4000x11.tif,III,III,3,validation,original_image,2026
2,ma_020,10-500-03-V-9mm-4000x12.tif,III,III,1,train,original_image,2026
2,ma_021,10_400-H-12mm-4000x14.tif,I,I+IV,2,test,original_image,2026
2,ma_022,10_400-H-6mm-4000x06.tif,I,I+IV,1,train,original_image,2026
2,ma_023,10_400-H-6mm-4000x07.tif,I,I+IV,3,validation,original_image,2026
2,ma_024,10_400-H-9mm-4000x10.tif,I,I+IV,1,train,original_image,2026
2,ma_025,10_400-H-9mm-4000x11.tif,I,I+IV,4,train,original_image,2026
2,ma_026,10_400-V-12mm-4000x14.tif,I,I+IV,4,train,original_image,2026
2,ma_027,10_400-V-6mm-4000x06.tif,I,I+IV,3,validation,original_image,2026
2,ma_028,10_400-V-6mm-4000x07.tif,I,I+IV,0,train,original_image,2026
2,ma_029,10_400-V-9mm-4000x10.tif,I,I+IV,0,train,original_image,2026
2,ma_030,10_400-V-9mm-4000x11.tif,I,I+IV,2,test,original_image,2026
2,ma_031,10_500-H-12mm-4000x14.tif,II,II,1,train,original_image,2026
2,ma_032,10_500-H-6mm-4000x06.tif,II,II,0,train,original_image,2026
2,ma_033,10_500-H-6mm-4000x07.tif,II,II,3,validation,original_image,2026
2,ma_034,10_500-H-9mm-4000x10.tif,II,II,1,train,original_image,2026
2,ma_035,10_500-H-9mm-4000x11.tif,II,II,4,train,original_image,2026
2,ma_036,10_500-V-12mm-4000x15.tif,II,II,4,train,original_image,2026
2,ma_037,10_500-V-6mm-4000x07.tif,II,II,2,test,original_image,2026
2,ma_038,10_500-V-6mm-4000x08.tif,II,II,3,validation,original_image,2026
2,ma_039,10_500-V-9mm-4000x11.tif,II,II,2,test,original_image,2026
2,ma_040,10_500-V-9mm-4000x12.tif,II,II,0,train,original_image,2026
3,ma_001,10-400-01-H-12mm-4000x14.tif,IV,I+IV,3,test,original_image,2026
3,ma_002,10-400-01-H-6mm-4000x06.tif,IV,I+IV,1,train,original_image,2026
3,ma_003,10-400-01-H-9mm-4000x10.tif,IV,I+IV,4,validation,original_image,2026
3,ma_004,10-400-01-H-9mm-4000x12.tif,IV,I+IV,4,validation,original_image,2026
3,ma_005,10-400-01-V-12mm-4000x16.tif,IV,I+IV,2,train,original_image,2026
3,ma_006,10-400-01-V-12mm-4000x17.tif,IV,I+IV,2,train,original_image,2026
3,ma_007,10-400-01-V-6mm-4000x07.tif,IV,I+IV,0,train,original_image,2026
3,ma_008,10-400-01-V-6mm-4000x08.tif,IV,I+IV,1,train,original_image,2026
3,ma_009,10-400-01-V-9mm-4000x12.tif,IV,I+IV,3,test,original_image,2026
3,ma_010,10-400-01-V-9mm-4000x13.tif,IV,I+IV,0,train,original_image,2026
3,ma_011,10-500-03-H-12mm-4000x17.tif,III,III,4,validation,original_image,2026
3,ma_012,10-500-03-H-6mm-4000x07.tif,III,III,2,train,original_image,2026
3,ma_013,10-500-03-H-6mm-4000x08.tif,III,III,3,test,original_image,2026
3,ma_014,10-500-03-H-9mm-4000x12.tif,III,III,4,validation,original_image,2026
3,ma_015,10-500-03-H-9mm-4000x13.tif,III,III,0,train,original_image,2026
3,ma_016,10-500-03-V-12mm-4000x16.tif,III,III,0,train,original_image,2026
3,ma_017,10-500-03-V-6mm-4000x06.tif,III,III,1,train,original_image,2026
3,ma_018,10-500-03-V-6mm-4000x07.tif,III,III,2,train,original_image,2026
3,ma_019,10-500-03-V-9mm-4000x11.tif,III,III,3,test,original_image,2026
3,ma_020,10-500-03-V-9mm-4000x12.tif,III,III,1,train,original_image,2026
3,ma_021,10_400-H-12mm-4000x14.tif,I,I+IV,2,train,original_image,2026
3,ma_022,10_400-H-6mm-4000x06.tif,I,I+IV,1,train,original_image,2026
3,ma_023,10_400-H-6mm-4000x07.tif,I,I+IV,3,test,original_image,2026
3,ma_024,10_400-H-9mm-4000x10.tif,I,I+IV,1,train,original_image,2026
3,ma_025,10_400-H-9mm-4000x11.tif,I,I+IV,4,validation,original_image,2026
3,ma_026,10_400-V-12mm-4000x14.tif,I,I+IV,4,validation,original_image,2026
3,ma_027,10_400-V-6mm-4000x06.tif,I,I+IV,3,test,original_image,2026
3,ma_028,10_400-V-6mm-4000x07.tif,I,I+IV,0,train,original_image,2026
3,ma_029,10_400-V-9mm-4000x10.tif,I,I+IV,0,train,original_image,2026
3,ma_030,10_400-V-9mm-4000x11.tif,I,I+IV,2,train,original_image,2026
3,ma_031,10_500-H-12mm-4000x14.tif,II,II,1,train,original_image,2026
3,ma_032,10_500-H-6mm-4000x06.tif,II,II,0,train,original_image,2026
3,ma_033,10_500-H-6mm-4000x07.tif,II,II,3,test,original_image,2026
3,ma_034,10_500-H-9mm-4000x10.tif,II,II,1,train,original_image,2026
3,ma_035,10_500-H-9mm-4000x11.tif,II,II,4,validation,original_image,2026
3,ma_036,10_500-V-12mm-4000x15.tif,II,II,4,validation,original_image,2026
3,ma_037,10_500-V-6mm-4000x07.tif,II,II,2,train,original_image,2026
3,ma_038,10_500-V-6mm-4000x08.tif,II,II,3,test,original_image,2026
3,ma_039,10_500-V-9mm-4000x11.tif,II,II,2,train,original_image,2026
3,ma_040,10_500-V-9mm-4000x12.tif,II,II,0,train,original_image,2026
4,ma_001,10-400-01-H-12mm-4000x14.tif,IV,I+IV,3,train,original_image,2026
4,ma_002,10-400-01-H-6mm-4000x06.tif,IV,I+IV,1,train,original_image,2026
4,ma_003,10-400-01-H-9mm-4000x10.tif,IV,I+IV,4,test,original_image,2026
4,ma_004,10-400-01-H-9mm-4000x12.tif,IV,I+IV,4,test,original_image,2026
4,ma_005,10-400-01-V-12mm-4000x16.tif,IV,I+IV,2,train,original_image,2026
4,ma_006,10-400-01-V-12mm-4000x17.tif,IV,I+IV,2,train,original_image,2026
4,ma_007,10-400-01-V-6mm-4000x07.tif,IV,I+IV,0,validation,original_image,2026
4,ma_008,10-400-01-V-6mm-4000x08.tif,IV,I+IV,1,train,original_image,2026
4,ma_009,10-400-01-V-9mm-4000x12.tif,IV,I+IV,3,train,original_image,2026
4,ma_010,10-400-01-V-9mm-4000x13.tif,IV,I+IV,0,validation,original_image,2026
4,ma_011,10-500-03-H-12mm-4000x17.tif,III,III,4,test,original_image,2026
4,ma_012,10-500-03-H-6mm-4000x07.tif,III,III,2,train,original_image,2026
4,ma_013,10-500-03-H-6mm-4000x08.tif,III,III,3,train,original_image,2026
4,ma_014,10-500-03-H-9mm-4000x12.tif,III,III,4,test,original_image,2026
4,ma_015,10-500-03-H-9mm-4000x13.tif,III,III,0,validation,original_image,2026
4,ma_016,10-500-03-V-12mm-4000x16.tif,III,III,0,validation,original_image,2026
4,ma_017,10-500-03-V-6mm-4000x06.tif,III,III,1,train,original_image,2026
4,ma_018,10-500-03-V-6mm-4000x07.tif,III,III,2,train,original_image,2026
4,ma_019,10-500-03-V-9mm-4000x11.tif,III,III,3,train,original_image,2026
4,ma_020,10-500-03-V-9mm-4000x12.tif,III,III,1,train,original_image,2026
4,ma_021,10_400-H-12mm-4000x14.tif,I,I+IV,2,train,original_image,2026
4,ma_022,10_400-H-6mm-4000x06.tif,I,I+IV,1,train,original_image,2026
4,ma_023,10_400-H-6mm-4000x07.tif,I,I+IV,3,train,original_image,2026
4,ma_024,10_400-H-9mm-4000x10.tif,I,I+IV,1,train,original_image,2026
4,ma_025,10_400-H-9mm-4000x11.tif,I,I+IV,4,test,original_image,2026
4,ma_026,10_400-V-12mm-4000x14.tif,I,I+IV,4,test,original_image,2026
4,ma_027,10_400-V-6mm-4000x06.tif,I,I+IV,3,train,original_image,2026
4,ma_028,10_400-V-6mm-4000x07.tif,I,I+IV,0,validation,original_image,2026
4,ma_029,10_400-V-9mm-4000x10.tif,I,I+IV,0,validation,original_image,2026
4,ma_030,10_400-V-9mm-4000x11.tif,I,I+IV,2,train,original_image,2026
4,ma_031,10_500-H-12mm-4000x14.tif,II,II,1,train,original_image,2026
4,ma_032,10_500-H-6mm-4000x06.tif,II,II,0,validation,original_image,2026
4,ma_033,10_500-H-6mm-4000x07.tif,II,II,3,train,original_image,2026
4,ma_034,10_500-H-9mm-4000x10.tif,II,II,1,train,original_image,2026
4,ma_035,10_500-H-9mm-4000x11.tif,II,II,4,test,original_image,2026
4,ma_036,10_500-V-12mm-4000x15.tif,II,II,4,test,original_image,2026
4,ma_037,10_500-V-6mm-4000x07.tif,II,II,2,train,original_image,2026
4,ma_038,10_500-V-6mm-4000x08.tif,II,II,3,train,original_image,2026
4,ma_039,10_500-V-9mm-4000x11.tif,II,II,2,train,original_image,2026
4,ma_040,10_500-V-9mm-4000x12.tif,II,II,0,validation,original_image,2026
